id,band1,band2,avg_corr,center_x,center_y,years_observed,first_year,last_year,human_rule
99,ndvi,ndwi,0.94005316,672,1544,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
100,evi,ndwi,0.97221816,1424,1544,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
101,ndvi,ndwi,0.9588602,2085,1546,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
102,evi,ndwi,0.9146378,2226,1541,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
104,ndvi,ndwi,0.92164147,2544,1600,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
105,evi,ndvi,0.95514,2170,1608,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
107,ndvi,ndwi,0.9494648,736,1640,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
108,evi,ndvi,0.95737857,881,1654,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
110,evi,ndvi,0.9390127,1536,1672,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
111,evi,ndvi,0.9421627,1546,1682,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
114,ndvi,ndwi,0.95183885,248,1728,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
115,evi,ndvi,-0.92963076,2212,1720,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong negative correlation in this zone
116,ndvi,ndwi,0.9388447,2372,1720,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
117,evi,ndwi,-0.9482797,2544,1720,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong negative correlation in this zone
118,ndvi,ndwi,0.9391866,2152,1756,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
119,ndvi,ndwi,0.9087723,160,1808,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
120,evi,ndvi,0.9521015,1184,1808,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
121,evi,ndvi,0.93942547,1304,1808,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
122,evi,ndwi,0.9274491,1360,1808,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
123,evi,ndvi,0.93975335,795,1826,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
124,ndvi,ndwi,0.9362538,2464,1851,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
125,ndvi,ndwi,0.94390726,848,1876,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
126,evi,ndvi,-0.9343597,2032,1880,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong negative correlation in this zone
127,evi,ndvi,0.9408548,1380,1920,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
128,evi,ndwi,0.9445839,2792,1928,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
129,ndvi,ndwi,0.94114244,228,1944,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
130,ndvi,ndwi,0.946563,1716,1944,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
131,ndvi,ndwi,0.9606328,213,1954,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
133,ndvi,ndwi,0.94297534,1752,1960,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
134,evi,ndwi,0.9382356,1400,1968,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
135,ndvi,ndwi,0.93139195,2368,1976,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
136,ndvi,ndwi,0.9636622,336,1996,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
137,ndvi,ndwi,0.92403626,1856,1996,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
138,ndvi,ndwi,0.9110621,1853,2042,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
139,ndvi,ndwi,0.9394403,620,2058,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
140,evi,ndwi,0.9403118,1368,2056,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
141,ndvi,ndwi,0.9477399,1744,2088,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
142,ndvi,ndwi,0.94178164,1024,2145,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
143,evi,ndwi,0.9601716,992,2144,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
144,evi,ndvi,0.9168013,1096,2144,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
145,evi,ndwi,0.9393396,992,2162,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
146,evi,ndvi,-0.91207474,760,2172,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong negative correlation in this zone
147,evi,ndwi,0.93836296,968,2180,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
148,ndvi,ndwi,0.9788167,2232,2192,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
149,ndvi,ndwi,0.91196716,1093,2202,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
150,evi,ndwi,0.9519494,1272,2232,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
151,evi,ndvi,0.9288191,1671,2250,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
152,ndvi,ndwi,0.9343238,2822,2314,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
153,ndvi,ndwi,0.9334934,1396,2280,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
154,ndvi,ndwi,0.93435085,1713,2323,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
155,ndvi,ndwi,0.94994223,2452,2280,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
156,ndvi,ndwi,0.95319164,2177,2305,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
157,ndvi,ndwi,0.94442546,2321,2319,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
158,ndvi,ndwi,0.9618293,2214,2330,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
159,ndvi,ndwi,0.92754245,2567,2337,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
160,evi,ndvi,0.9508347,2417,2348,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
161,evi,ndvi,0.92565936,2586,2354,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
162,evi,ndvi,0.90493995,2594,2362,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
163,ndvi,ndwi,0.9325838,2760,2360,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
164,ndvi,ndwi,0.94487715,1640,2368,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
165,ndvi,ndwi,0.93855107,2546,2481,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
166,evi,ndvi,0.943046,2270,2391,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
167,ndvi,ndwi,0.92681044,2416,2388,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
168,ndvi,ndwi,0.96082586,2499,2424,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
169,ndvi,ndwi,0.9883644,1696,2392,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
170,evi,ndvi,0.9306632,2632,2392,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
171,ndvi,ndwi,0.93914557,1943,2445,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
172,evi,ndvi,0.93481785,2120,2420,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
173,evi,ndvi,0.9318592,2604,2418,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
174,ndvi,ndwi,0.9304086,2280,2424,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
175,evi,ndvi,0.9264711,2756,2428,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
176,evi,ndvi,0.91701794,1896,2432,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
177,evi,ndvi,0.9292039,1764,2442,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
178,ndvi,ndwi,0.9558075,2179,2453,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
179,ndvi,ndwi,0.94836986,1840,2456,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
180,ndvi,ndwi,0.9244019,1892,2456,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
181,ndvi,ndwi,0.93681127,2019,2472,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
182,evi,ndvi,0.92057467,2576,2460,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
183,evi,ndwi,0.91398317,2632,2472,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
184,ndvi,ndwi,0.9191575,2193,2478,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
185,ndvi,ndwi,0.94876957,2368,2480,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
186,ndvi,ndwi,0.93306994,2470,2547,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
187,evi,ndwi,0.9367473,2316,2516,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
188,ndvi,ndwi,0.91611105,2752,2526,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
189,evi,ndwi,0.9360221,2800,2533,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
190,ndvi,ndwi,0.94355804,2717,2571,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
191,evi,ndvi,0.9560102,2336,2576,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
192,ndvi,ndwi,0.933533,2685,2586,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
193,ndvi,ndwi,0.93097496,2509,2610,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
194,evi,ndvi,0.9082182,2756,2620,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
195,evi,ndvi,0.92890894,2598,2645,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDVI show strong positive correlation in this zone
196,evi,ndwi,0.9076949,2828,2656,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
197,evi,ndwi,0.9723446,2704,2656,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
198,evi,ndwi,0.93199235,2728,2672,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,EVI and NDWI show strong positive correlation in this zone
199,ndvi,ndwi,0.958301,2738,2682,"[2020, 2021, 2022, 2023, 2024, 2025]",2020,2025,NDVI and NDWI show strong positive correlation in this zone
